Feature,Importance
Feature9,34.2281265079273
Feature24,22.627904712833242
Feature19,18.293088390275898
Feature14,14.1074121690026
Feature27,10.516656896538734
Feature1,9.090947080499973
Feature11,7.284062090819134
Feature3,6.478086410840206
Feature15,2.770546089363961
Feature13,2.594112396329365
Feature5,1.3367698018710144
Feature12,0.5630187296055738
Feature10,-0.4938152251365864
Feature6,-1.1256564961272488
Feature7,-2.22129957595871
Feature20,-3.173739688321348
Feature4,-3.742881869334269
Feature17,-4.135705795195008
Feature18,-5.303520336482961
Feature16,-7.126105294883928
Feature25,-8.192523897356295
Feature8,-8.965212564242393
Feature28,-16.080214527049975
Feature23,-19.67320317328995
Feature21,-35.17383753115655
Feature22,-52.154207299787686
Feature26,-60.82778209047137
Feature2,-67.88489014249672
